Composante	Categorie	SousCategorie	Description	Organisation	Contact	Contact2	URL	Communication	Priorite1	Priorite2	Commentaire
CV	Habitats floristiques et fauniques	Côte rocheuse	NA	UQAR	Pascal Bernatchez	NA	NA	2	1	2	NA
CV	Habitats floristiques et fauniques	Côte rocheuse	NA	MELCC	CDCE	Joannie Ferland	NA	2	1	1	Contact via Joannie Ferland (CEGRIM)
CV	Habitats floristiques et fauniques	Herbiers aquatiques eau douce 	NA	MFFP	Rémy Pouliot	Joannie Ferland	NA	2	1	1	Contact via Joannie Ferland (CEGRIM)
CV	Habitats floristiques et fauniques	Herbiers aquatiques eau douce 	NA	ECCC	Martin Jean	Joannie Ferland	NA	2	1	1	Contact via Joannie Ferland (CEGRIM)
CV	Habitats floristiques et fauniques	Herbiers aquatiques eau douce 	NA	MELCC	NA	Joannie Ferland	NA	2	1	1	Contact via Joannie Ferland (CEGRIM)
CV	Habitats floristiques et fauniques	Banc laminaire	NA	MPO	Christine Desjardins	NA	NA	2	1	2	NA
CV	Habitats floristiques et fauniques	NA	Habitats côtiers et épipélagiques de l'estuaire et du golfe du St-Laurent - Base de données	MPO	Jean-Denis Dutil	NA	https://ouvert.canada.ca/data/fr/dataset/5edf2b99-1058-438a-a450-155e888a5390	3	1	1	Données en main
CV	Habitats floristiques et fauniques	Habitats benthiques	Habitats benthiques	MPO	Jean-Denis Dutil	NA	NA	3	1	1	Données en main
CV	Habitats floristiques et fauniques	NA	Indice de dégradation de l'habitat du poisson	MPO	NA	NA	NA	1	1	3	Pas de données clairement énoncées, à rechercher.
CV	Habitats floristiques et fauniques	NA	NA	MPO	Olivier Parent	NA	NA	2	1	3	Pas de données clairement énoncées, à rechercher.
CV	Habitats floristiques et fauniques	NA	Habitats de reproduction des poissons	AGHAMM	NA	NA	NA	1	1	1	NA
CV	Habitats floristiques et fauniques	Zone inondable	NA	MELCC	NA	Joannie Ferland	NA	1	1	1	Contact via Joannie Ferland (CEGRIM)
CV	Habitats floristiques et fauniques	NA	NA	ECCC	Isabelle Matteau	NA	NA	1	1	3	Pas de données clairement énoncées, à rechercher.
CV	Habitats floristiques et fauniques	NA	NA	NA	NA	NA	NA	1	1	2	PIL: cartographié les zones sensibles entre Montréal et Anticosti.
CV	Habitats floristiques et fauniques	NA	NA	MPO	NA	NA	NA	1	1	2	MPO - Atlas du Programme de Protection du Poisson et de son Habitat. et aussi il y a toute l'information géoréférencée sur les projets soumis à la LP dans leur système de suivi des activités du programme de l'habitat (SAPH).
CV	Habitats floristiques et fauniques	Infralittoral	NA	MPO	Christine Desjardins	NA	NA	1	1	2	Cartographie très détaillée du littoral maritime du Québec où seront décrites notamment les zones d'abondance de plantes et d'algues marines qui constituent des habitats très importants pour de nombreuses espèces.
CV	Habitats floristiques et fauniques	NA	NA	Kahnawake	NA	NA	NA	1	1	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites d'importance culturelle autochtones	NA	Nation Waban Aki	NA	NA	NA	2	3	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites d'importance culturelle autochtones	NA	AGHAMM	NA	NA	NA	2	3	1	Atlas
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites d'importance culturelle autochtones	NA	Kahnawake	NA	NA	NA	2	3	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites archéologiques autochtones	NA	Nation Waban Aki	NA	NA	NA	2	3	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites archéologiques autochtones	NA	Nation huron wendat	NA	NA	NA	2	3	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites archéologiques autochtones	NA	AGHAMM	NA	NA	NA	2	3	1	Atlas
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites archéologiques autochtones	NA	MCC	NA	NA	NA	1	3	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites patrimoniaux autochtones	NA	Nation Waban Aki	NA	NA	NA	2	3	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites patrimoniaux autochtones	NA	AGHAMM	NA	NA	NA	2	3	1	Atlas
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites patrimoniaux autochtones	NA	Kahnawake	NA	NA	NA	2	3	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites d'importance culturelle communautés locales	NA	NA	NA	NA	NA	1	3	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites archéologiques communautés locales	NA	NA	NA	NA	NA	1	3	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Sites patrimoniaux communautés locales	NA	NA	NA	NA	NA	1	3	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Activités traditionnelles, spirituelles et culturelles	NA	Nation Waban Aki	NA	NA	NA	2	3	2	NA
CV	Sites d'intérêt culturels, patrimoniaux et archéologiques	Activités traditionnelles, spirituelles et culturelles	NA	AGHAMM	NA	NA	NA	2	3	1	Atlas
CV	Intégrité des berges	Exposition	NA	MELCC	NA	NA	NA	1	6	2	NA
CV	Intégrité des berges	Exposition	NA	MSP	NA	NA	NA	1	6	2	NA
CV	Intégrité des berges	Exposition	NA	UQAR	Pascal Bernatchez	Joannie Ferland	NA	2	6	1	Avec les travaux du CEGRIM, nous travaillerons avec l'UQAR (P. Bernatchez) pour l'acquisition de ces données déjà collectées pour le suivi de l'érosion/submersion (Joannie Ferland)
CV	Intégrité des berges	Taux d'érosion côtière	Cartographie de la plaine inondable sur 100 ans a été réalisée pour étudier l'érodabilité des berges	Kahnawake	NA	NA		2	6	2	NA
CV	Intégrité des berges	Taux d'érosion côtière	NA	Nation huron wendat	NA	NA		1	6	2	NA
CV	Intégrité des berges	Taux d'érosion côtière	Observations des membres de la Nation	GCNWA	NA	NA		1	6	2	NA
CV	Intégrité des berges	Taux d'érosion côtière	Étude provinciale sur l'érosion/inondations dans le tronçon fluvial 	Ouranos	Anne Blondlot	NA		2	6	1	NA
CV	Intégrité des berges	Taux d'érosion côtière	Projet Emphase	INRS	Damien Pham Van Bang	NA	http://lhe.ete.inrs.ca/en/emphase-project/	2	6	0	NA
